,lower Total_Enrolments,upper Total_Enrolments,Forecast
2025-12-02,0.0,42.44813268190572,0.6107597523166941
2025-12-03,0.0,34.75317172961364,0.026909942816671542
2025-12-04,0.0,39.806603823314276,0.0
2025-12-05,0.0,46.85526553716529,0.0
2025-12-06,0.0,57.46613994946163,0.0
2025-12-07,0.0,76.45507051160394,0.005566306024263392
2025-12-08,0.0,109.4321795776298,0.20020722041002656
2025-12-09,0.0,172.0045162744753,0.515380797047551
2025-12-10,0.0,129.94768215005507,0.0
2025-12-11,0.0,143.36179631069703,0.0
2025-12-12,0.0,161.82156692567963,0.0
2025-12-13,0.0,191.76123221939497,0.0
2025-12-14,0.0,247.26238611333554,0.0
2025-12-15,0.0,344.3146723931022,0.12190983862480362
2025-12-16,0.0,524.3425481303217,0.41651815501877126
2025-12-17,0.0,388.0968223714555,0.0
2025-12-18,0.0,419.7972732982576,0.0
2025-12-19,0.0,465.4794160224322,0.0
2025-12-20,0.0,542.735623458976,0.0
2025-12-21,0.0,689.512013914745,0.0
2025-12-22,0.0,947.29152045724,0.04871772862824256
2025-12-23,0.0,1418.9260231979902,0.3241061370771533
2025-12-24,0.0,1038.2232342919008,0.0
2025-12-25,0.0,1110.8987180262388,0.0
2025-12-26,0.0,1219.568588486842,0.0
2025-12-27,0.0,1409.0159121893,0.0
2025-12-28,0.0,1774.9917370087674,0.0
2025-12-29,0.0,2419.7315892283314,0.0
2025-12-30,0.0,3588.2957390871525,0.23772297299097495
2025-12-31,0.0,2606.8301623893863,0.0
2026-01-01,0.0,2770.777187863298,0.0
2026-01-02,0.0,3023.1495255613495,0.0
2026-01-03,0.0,3472.9958291484872,0.0
2026-01-04,0.0,4352.1615181451525,0.0
2026-01-05,0.0,5904.445919069615,0.0
2026-01-06,0.0,8698.554134265602,0.1569753473473737
2026-01-07,0.0,6289.805848098328,0.0
2026-01-08,0.0,6656.576882836878,0.0
2026-01-09,0.0,7233.947722316376,0.0
2026-01-10,0.0,8279.877918417365,0.0
2026-01-11,0.0,10340.758895611436,0.0
2026-01-12,0.0,13985.456484442484,0.0
2026-01-13,0.0,20511.28383153678,0.08149560408889372
2026-01-14,0.0,14784.934980933363,0.0
2026-01-15,0.0,15602.371333232195,0.0
2026-01-16,0.0,16911.030058512442,0.0
2026-01-17,0.0,19309.482652650655,0.0
2026-01-18,0.0,24062.41246213544,0.0
2026-01-19,0.0,32478.11754625062,0.0
2026-01-20,0.0,47483.401481014145,0.010940072617145554
2026-01-21,0.0,34154.862179802534,0.0
2026-01-22,0.0,35975.073259748875,0.0
2026-01-23,0.0,38925.12228647016,0.0
2026-01-24,0.0,44376.30823026931,0.0
2026-01-25,0.0,55221.197581631364,0.0
2026-01-26,0.0,74440.46668355294,0.0
2026-01-27,0.0,108592.25578506492,0.0
2026-01-28,0.0,78002.21764294768,0.0
2026-01-29,0.0,82059.27721357689,0.0
2026-01-30,0.0,88691.33221716053,0.0
2026-01-31,0.0,101014.25321940922,0.0
2026-02-01,0.0,125593.76878737222,0.0
2026-02-02,0.0,169181.53598990457,0.0
2026-02-03,0.0,246417.66931979122,0.0
2026-02-04,0.0,176849.74201027272,0.0
2026-02-05,0.0,185912.90693941416,0.0
2026-02-06,0.0,200811.80346796435,0.0
2026-02-07,0.0,228591.71754685577,0.0
2026-02-08,0.0,284089.8489162531,0.0
2026-02-09,0.0,382552.4241452757,0.0
2026-02-10,0.0,556614.3940455739,0.0
2026-02-11,0.0,399283.0300224959,0.0
2026-02-12,0.0,419593.76713135827,0.0
2026-02-13,0.0,453090.83037108893,0.0
2026-02-14,0.0,515665.8415480818,0.0
2026-02-15,0.0,640778.4244567855,0.0
2026-02-16,0.0,862820.719356145,0.0
2026-02-17,0.0,1254563.6273458027,0.0
2026-02-18,0.0,899791.9335694476,0.0
2026-02-19,0.0,945484.4881425014,0.0
2026-02-20,0.0,1020944.5789246625,0.0
2026-02-21,0.0,1161999.4581530779,0.0
2026-02-22,0.0,1444085.629474222,0.0
2026-02-23,0.0,1944825.9022216315,0.0
2026-02-24,0.0,2826760.4653641847,0.0
2026-02-25,0.0,2027503.9867810684,0.0
2026-02-26,0.0,2130748.779272543,0.0
2026-02-27,0.0,2301235.2306699706,0.0
2026-02-28,0.0,2619812.873167059,0.0
2026-03-01,0.0,3256756.984792787,0.0
2026-03-02,0.0,4387574.76462408,0.0
2026-03-03,0.0,6376314.4615297355,0.0
2026-03-04,0.0,4574512.911276179,0.0
2026-03-05,0.0,4808922.966782045,0.0
2026-03-06,0.0,5195511.095300537,0.0
2026-03-07,0.0,5917116.242766106,0.0
2026-03-08,0.0,7358969.223290949,0.0
2026-03-09,0.0,9919001.615347328,0.0
