,lower Total_Enrolments,upper Total_Enrolments,Forecast
2025-12-02,0.0,42.9827055155259,0.726791492982922
2025-12-03,0.0,34.46119129386208,0.06829090693174007
2025-12-04,0.0,44.51486944419346,0.06025391829081806
2025-12-05,0.0,51.8789176387528,0.0
2025-12-06,0.0,64.48385381550352,0.0
2025-12-07,0.0,90.37870002443867,0.086072247924089
2025-12-08,0.0,124.0431170615602,0.212939770630223
2025-12-09,0.0,220.6998428594418,0.7264708752134361
2025-12-10,0.0,166.07167384427717,0.06965316278577495
2025-12-11,0.0,199.11699949249473,0.06090992633729975
2025-12-12,0.0,219.38232579281564,0.0
2025-12-13,0.0,258.96645809322877,0.0
2025-12-14,0.0,346.8379540390478,0.08698518635071391
2025-12-15,0.0,457.46722103557096,0.21392694324606232
2025-12-16,0.0,781.5106899900737,0.727896714877103
2025-12-17,0.0,570.5178013621644,0.07053079028302141
2025-12-18,0.0,664.516219869265,0.06178294918807413
2025-12-19,0.0,713.4927846646202,0.0
2025-12-20,0.0,822.5326197508821,0.0
2025-12-21,0.0,1077.479164687381,0.08787877675533494
2025-12-22,0.0,1392.8579180127376,0.21492500978181311
2025-12-23,0.0,2328.996023647128,0.7293172806070942
2025-12-24,0.0,1671.0612385838908,0.07141093325090747
2025-12-25,0.0,1914.5721377971424,0.06265589058324246
2025-12-26,0.0,2024.8431318546081,0.0
2025-12-27,0.0,2301.586381977859,0.0
2025-12-28,0.0,2974.6515143836214,0.0887731760355136
2025-12-29,0.0,3797.7139238905256,0.21592385965073468
2025-12-30,0.0,6264.712514090988,0.7307390380557857
2025-12-31,0.0,4444.263953368177,0.0722917932041922
2026-01-01,0.0,5037.160609030287,0.06352955261767877
2026-01-02,0.0,5273.965353226217,0.0
2026-01-03,0.0,5938.205443400884,0.0
2026-01-04,0.0,7604.753994459557,0.08966831037161777
2026-01-05,0.0,9626.115533533368,0.21692353086104224
2026-01-06,0.0,15730.090707487723,0.7321619643137904
2026-01-07,0.0,11069.662471355281,0.07317337738051596
2026-01-08,0.0,12450.366472003805,0.0644039329220361
2026-01-09,0.0,12941.9873230529,0.0
2026-01-10,0.0,14472.602568674109,0.0
2026-01-11,0.0,18410.961299939572,0.09056418064299278
2026-01-12,0.0,23158.764082595033,0.2179240239500417
2026-01-13,0.0,37580.234809339214,0.7335860604302507
2026-01-14,0.0,26287.44410352473,0.07405568635075112
2026-01-15,0.0,29396.311021097,0.06527903209777551
2026-01-16,0.0,30391.405376332168,0.0
2026-01-17,0.0,33810.08070070943,0.0
2026-01-18,0.0,42791.974604369956,0.0914607874536718
